"","Sample ID","pH","Temperature (°C)","Turbidity (NTU)","Dissolved Oxygen (mg/L)","Conductivity (µS/cm)","Tipo_de_Zona","Uso_del_Suelo","Temporada","Estado_Ecológico","Riesgo_Eutrofización","Presión_Antrópica"
"478",478,7.2,21.6157313190401,4.7,8.1,347,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"479",479,7.1,21.8,4,8.7,343,"Costa","Mixto","Otoño","Bueno","Bajo","Media"
"480",480,7.33,24.8406057127751,4.6,9.8,367,"Costa","Mixto","Verano","Bueno","Alto","Media"
"481",481,7.07,20.8,3.8,7.7,332,"Costa","Mixto","Primavera","Bueno","Bajo","Media"
"482",482,7.21,20.9426521194167,4.5,8.9,356,"Serra de Tramuntana","Natural","Invierno","Bueno","Alto","Baja"
"483",483,7.23,23.7798199265264,4.2,8.6,343,"Costa","Mixto","Verano","Bueno","Medio","Media"
"484",484,7.16,24.5090154982172,3.6,9.1,354,"Costa","Mixto","Verano","Muy bueno","Alto","Media"
"485",485,7.28,20.9,4.5,9.5,362,"Zona húmeda","Mixto","Primavera","Bueno","Alto","Media"
"486",486,7.09,23.7967069949955,3.9,9.4,363,"Serra de Tramuntana","Natural","Verano","Muy bueno","Alto","Baja"
"487",487,7.22,20.3223646908998,4.3,8.5,350,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"488",488,7.04,19.0799501429312,4.4,7.8,335,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"489",489,7.35,22.6,3.7,9.7,369,"Zona urbana","Urbano","Primavera","Muy bueno","Alto","Alta"
"490",490,7.08,23.714347495418,4.6,8.2,340,"Costa","Mixto","Verano","Bueno","Medio","Media"
"491",491,7.26,20.9301732465625,3.9,9.2,360,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Alto","Baja"
"492",492,7.03,23.5247127870098,4.2,7.6,330,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"493",493,7.15,23.2,3.6,8.9,353,"Zona húmeda","Mixto","Otoño","Muy bueno","Alto","Media"
"494",494,7.19,24.2312972555868,4.3,7.8,336,"Costa","Mixto","Verano","Bueno","Medio","Media"
"495",495,7.11,25.1168401006609,4.5,8.3,347,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"496",496,7.01,20.8,4.6,7.1,327,"Costa","Mixto","Otoño","Bueno","Medio","Media"
"497",497,7.31,19.7761044874787,3.8,9.4,361,"Zona húmeda","Mixto","Invierno","Muy bueno","Alto","Media"
"498",498,7.02,21.2,4.7,7.5,334,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"499",499,7.25,21.1295831291936,3.9,8.7,359,"Zona urbana","Urbano","Invierno","Muy bueno","Alto","Alta"
"500",500,7.12,18.5397300809622,4.4,8.2,339,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
